# Asfand campaign summary (RX 32-64-16 win5, our TX-DSP, JLT chain, N_DAC=6, 100k@14)
# gains: horizontal dB at BER=1e-3, Eb/N0 axis, vs in-house BPAM+AE at equal N_ADC

## no-precoder (A/B winner)
pre0 N_ADC=8 seed0: E2E@13.50  baseline@16.27  gain +2.77 dB
pre0 N_ADC=6 seed0: E2E@13.68  baseline@16.60  gain +2.92 dB
pre0 N_ADC=6 seed1: E2E@14.24  baseline@16.60  gain +2.35 dB
pre0 N_ADC=5 seed0: E2E@14.37  baseline@17.88  gain +3.51 dB

## A/B differential precoder (same N_ADC & seed, BER @ OSNR 17)
N_ADC=8 seed0: OFF 1.54e-04  ON 3.87e-04  ratio ON/OFF 2.52x
N_ADC=8 seed1: OFF   --      ON 6.39e-04
N_ADC=6 seed0: OFF 1.93e-04  ON 3.65e-04  ratio ON/OFF 1.89x
N_ADC=6 seed1: OFF 4.47e-04  ON 8.03e-04  ratio ON/OFF 1.80x
N_ADC=6 seed2: OFF   --      ON 2.15e-03
N_ADC=5 seed0: OFF 5.60e-04  ON 7.53e-04  ratio ON/OFF 1.34x
N_ADC=5 seed1: OFF   --      ON 1.27e-03
